user_id,flags,risk_score,max_severity
340eea65-4641-507f-877f-43eef36271c6,"INV_HISTORY_MISMATCH, MISSING_HISTORY",15,HIGH
0aacec2b-737a-578b-af5a-b348771569f0,INV_HISTORY_MISMATCH,10,HIGH
aff83240-f491-5093-ad5c-e6570860108a,INV_HISTORY_MISMATCH,10,HIGH
3fa147da-a3ab-5cb9-ae04-d8973400065d,INV_HISTORY_MISMATCH,10,HIGH
004c471b-6142-53e6-8fd7-311ca38fccb3,MISSING_HISTORY,5,MEDIUM
abea2c51-e5fc-5e0f-83d8-5c8a77e667d8,MISSING_HISTORY,5,MEDIUM
ace9f0f3-eef3-55ff-9cb5-8acf191664e3,MISSING_HISTORY,5,MEDIUM
ace47f7d-8870-5fe7-8669-8cf94c069cef,MISSING_HISTORY,5,MEDIUM
acbaebfe-200a-5c8a-a676-6c34ff48e101,MISSING_HISTORY,5,MEDIUM
aca31500-6d55-5fea-a168-9e9f55b76b93,MISSING_HISTORY,5,MEDIUM
ac44718b-501d-5f43-b776-b0f0263ab9b1,MISSING_HISTORY,5,MEDIUM
ac2f2d98-d7cf-5062-ada5-a3e751664ded,MISSING_HISTORY,5,MEDIUM
ac1aa2ed-e298-55ed-b875-599711c585d6,MISSING_HISTORY,5,MEDIUM
abbc28fd-c244-5cb2-b5fa-766c7541c0db,MISSING_HISTORY,5,MEDIUM
ad4414ed-8f4c-5705-9ae3-b099e9d794f5,MISSING_HISTORY,5,MEDIUM
abb5cf20-3c33-51e7-a884-453d4798244b,MISSING_HISTORY,5,MEDIUM
ab9f1b95-9378-5654-9b45-1ab259eb0ed4,MISSING_HISTORY,5,MEDIUM
ab783e49-1af9-550c-bfb1-9c65b428b269,MISSING_HISTORY,5,MEDIUM
ab629a56-fd26-530c-9ba1-1cc341cc6b7d,MISSING_HISTORY,5,MEDIUM
ab5c89ca-1543-5a7a-9de6-cf3cb4cdd778,MISSING_HISTORY,5,MEDIUM
aac58244-7c42-59a9-ac24-8aca0998504f,MISSING_HISTORY,5,MEDIUM
aa8e0341-fef5-585d-9902-f95abf8caab9,MISSING_HISTORY,5,MEDIUM
aa7d0a94-fa71-5a7b-b33f-3ff13ed94fd2,MISSING_HISTORY,5,MEDIUM
aa76db1b-3bc8-5ee3-94cd-b64f043a77d8,MISSING_HISTORY,5,MEDIUM
ad2034ee-e641-5178-b75e-e9aa7c84f0de,MISSING_HISTORY,5,MEDIUM
ad73929a-343d-50d8-a29d-e5810b4912e0,MISSING_HISTORY,5,MEDIUM
ad62f300-028e-57e4-8787-73187e80ec40,MISSING_HISTORY,5,MEDIUM
af34bce7-99d7-536d-aa25-8554c6db5949,MISSING_HISTORY,5,MEDIUM
b0fbd118-5321-52e3-87fd-0d70ae71aa67,MISSING_HISTORY,5,MEDIUM
b0b292bc-27f9-5707-a6c5-12b572dda073,MISSING_HISTORY,5,MEDIUM
b0426964-9813-5b87-9bf6-fd0db721516a,MISSING_HISTORY,5,MEDIUM
b039b375-a93f-5ada-9a4f-2b6921972a2a,MISSING_HISTORY,5,MEDIUM
b034e3f8-ab7d-5e23-bd61-d88071a0d892,MISSING_HISTORY,5,MEDIUM
aff0ef9b-2b58-52dc-987d-16ed3ff7dbeb,MISSING_HISTORY,5,MEDIUM
afdcdc63-aff1-5163-953c-cc712fa039e1,MISSING_HISTORY,5,MEDIUM
afcd69e4-a588-5b92-8898-ca3aa3979323,MISSING_HISTORY,5,MEDIUM
af9cf3c0-e274-55dd-8ccd-b1690838025e,MISSING_HISTORY,5,MEDIUM
aec5f3d4-519b-53d1-91b4-41278456a056,MISSING_HISTORY,5,MEDIUM
aa438e8a-a35a-5196-a94f-0204d4e5732c,MISSING_HISTORY,5,MEDIUM
aec062a9-ee5e-52c6-9ead-c17c747438ce,MISSING_HISTORY,5,MEDIUM
aead975b-ffd6-5ee7-a680-1ad426d4014b,MISSING_HISTORY,5,MEDIUM
ae43c75b-a8d9-52cc-984a-e635a589a8fd,MISSING_HISTORY,5,MEDIUM
ae42e471-f2bd-5df7-bff7-aead562fac7b,MISSING_HISTORY,5,MEDIUM
ae32ce16-6ad8-5d81-8f68-b719191219ac,MISSING_HISTORY,5,MEDIUM
ae069f10-3763-58b7-a22d-66b59a3a91bd,MISSING_HISTORY,5,MEDIUM
adef3849-3007-552e-8256-4cdf98ff9055,MISSING_HISTORY,5,MEDIUM
